學年別,領域別,五專(含七年)總計,五專(含七年)國立,五專(含七年)直轄市立,五專(含七年)私立,二專總計,二專國立,二專直轄市立,二專私立,學士後學士學位總計,學士後學士學位國立,學士後學士學位直轄市立,學士後學士學位私立,大學二年制(含二技)總計,大學二年制(含二技)國立,大學二年制(含二技)直轄市立,大學二年制(含二技)私立,大學四年制(含四技)總計,大學四年制(含四技)國立,大學四年制(含四技)直轄市立,大學四年制(含四技)私立,碩士班總計,碩士班國立,碩士班直轄市立,碩士班私立,博士班總計,博士班國立,博士班直轄市立,博士班私立
105學年,總計,251,30,-,221,112,17,-,95,19,10,-,9,484,135,-,349,3761,1151,27,2583,3426,1853,47,1526,880,655,5,220
105學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,95,72,6,17,258,204,17,37,59,55,2,2
105學年,人文及藝術,58,8,-,50,6,-,-,6,5,3,-,2,79,24,-,55,711,216,5,490,517,291,9,217,96,70,1,25
105學年,社會科學、商業及法律,26,9,-,17,19,1,-,18,4,2,-,2,119,44,-,75,884,238,3,643,920,454,4,462,159,117,-,42
105學年,科學,15,2,-,13,9,2,-,7,1,-,-,1,28,6,-,22,394,140,3,251,375,217,6,152,149,127,-,22
105學年,工程、製造及營造,34,2,-,32,17,4,-,13,1,1,-,-,83,39,-,44,725,285,2,438,781,426,2,353,254,184,-,70
105學年,農學,2,2,-,-,3,3,-,-,-,-,-,-,3,3,-,-,96,67,-,29,99,84,-,15,37,36,-,1
105學年,醫藥衛生及社福,58,3,-,55,27,2,-,25,2,1,-,1,97,7,-,90,294,43,1,250,281,91,-,190,111,55,-,56
105學年,服務,58,4,-,54,31,5,-,26,6,3,-,3,73,12,-,61,557,86,7,464,191,84,9,98,13,10,2,1
105學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,1,4,2,-,2,2,1,-,1
104學年,總計,253,30,-,223,141,22,-,119,11,6,-,5,435,103,-,332,3749,1130,27,2592,3378,1841,46,1491,858,646,5,207
104學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,95,72,6,17,262,209,16,37,59,55,2,2
104學年,人文及藝術,60,8,-,52,6,-,-,6,3,2,-,1,64,18,-,46,711,210,5,496,519,298,9,212,98,72,1,25
104學年,社會科學、商業及法律,28,9,-,19,27,2,-,25,1,-,-,1,97,36,-,61,893,237,3,653,907,446,4,457,160,118,-,42
104學年,科學,16,2,-,14,12,2,-,10,-,-,-,-,31,5,-,26,407,137,3,267,371,215,6,150,144,124,-,20
104學年,工程、製造及營造,32,2,-,30,20,3,-,17,2,2,-,-,67,26,-,41,727,279,2,446,771,420,2,349,241,178,-,63
104學年,農學,2,2,-,-,3,3,-,-,-,-,-,-,-,-,-,-,95,67,-,28,94,81,-,13,35,34,-,1
104學年,醫藥衛生及社福,57,3,-,54,29,2,-,27,2,-,-,2,96,7,-,89,273,40,1,232,266,90,-,176,107,55,-,52
104學年,服務,58,4,-,54,44,10,-,34,3,2,-,1,78,11,-,67,542,83,7,452,185,81,9,95,12,9,2,1
104學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,1,3,1,-,2,2,1,-,1
103學年,總計,236,31,-,205,162,25,-,137,12,7,-,5,482,97,-,385,3797,1123,24,2650,3334,1819,48,1467,851,638,5,208
103學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,94,72,6,16,266,214,17,35,58,54,2,2
103學年,人文及藝術,54,8,-,46,8,-,-,8,1,-,-,1,70,17,-,53,718,208,5,505,506,292,10,204,97,71,1,25
103學年,社會科學、商業及法律,29,9,-,20,32,4,-,28,1,1,-,-,121,36,-,85,896,233,2,661,887,436,4,447,157,115,-,42
103學年,科學,18,3,-,15,12,2,-,10,-,-,-,-,36,4,-,32,419,137,3,279,373,212,6,155,148,125,-,23
103學年,工程、製造及營造,25,2,-,23,22,4,-,18,3,3,-,-,69,24,-,45,753,279,1,473,775,419,2,354,241,177,-,64
103學年,農學,2,2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,95,67,-,28,92,79,-,13,33,32,-,1
103學年,醫藥衛生及社福,55,3,-,52,30,2,-,28,3,1,-,2,97,5,-,92,267,38,-,229,246,84,-,162,103,54,-,49
103學年,服務,53,4,-,49,54,9,-,45,4,2,-,2,87,11,-,76,549,84,7,458,186,82,9,95,13,10,2,1
103學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,1,3,1,-,2,1,-,-,1
102學年,總計,253,30,-,223,195,27,-,168,15,8,-,7,500,105,-,395,3848,1114,24,2710,3312,1809,47,1456,839,626,5,208
102學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,96,72,6,18,265,214,17,34,59,55,2,2
102學年,人文及藝術,58,8,-,50,7,-,-,7,3,1,-,2,72,17,-,55,719,209,5,505,506,291,10,205,92,67,1,24
102學年,社會科學、商業及法律,32,9,-,23,38,4,-,34,4,3,-,1,121,33,-,88,916,227,2,687,866,429,3,434,155,113,-,42
102學年,科學,24,3,-,21,15,2,-,13,-,-,-,-,44,5,-,39,438,139,3,296,374,213,5,156,147,123,-,24
102學年,工程、製造及營造,29,2,-,27,31,6,-,25,3,3,-,-,78,33,-,45,773,276,1,496,782,420,2,360,236,171,-,65
102學年,農學,2,2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,98,69,-,29,90,78,-,12,34,33,-,1
102學年,醫藥衛生及社福,54,2,-,52,34,2,-,32,2,-,-,2,98,5,-,93,265,35,-,230,246,82,1,163,103,54,-,49
102學年,服務,54,4,-,50,66,9,-,57,3,1,-,2,86,12,-,74,536,82,7,447,180,81,9,90,12,10,2,-
102學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,2,3,1,-,2,1,-,-,1
101學年,總計,257,30,-,227,206,25,-,181,16,9,-,7,500,107,-,393,3858,1099,24,2735,3289,1823,46,1420,822,615,5,202
101學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,100,76,6,18,277,225,16,36,58,55,2,1
101學年,人文及藝術,60,8,-,52,10,1,-,9,2,1,-,1,69,17,-,52,705,205,6,494,495,287,10,198,90,66,1,23
