學年別,學程類別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
106學年,總計,1255,360,422,473,576,181,185,210,263,71,96,96,36,9,10,17,380,99,131,150
106學年,學術學程,786,360,206,220,413,181,113,119,191,71,60,60,20,9,4,7,162,99,29,34
106學年,專門學程,469,-,216,253,163,-,72,91,72,-,36,36,16,-,6,10,218,-,102,116
105學年,總計,1387,419,474,494,649,197,223,229,259,83,84,92,44,10,17,17,435,129,150,156
105學年,學術學程,863,419,220,224,446,197,128,121,187,83,51,53,26,10,7,9,204,129,34,41
105學年,專門學程,524,-,254,270,203,-,95,108,72,-,33,39,18,-,10,8,231,-,116,115
104學年,總計,1528,473,495,560,705,223,229,253,265,83,92,90,53,18,18,17,505,149,156,200
104學年,學術學程,934,473,223,238,478,223,121,134,191,83,54,54,31,18,8,5,234,149,40,45
104學年,專門學程,594,-,272,322,227,-,108,119,74,-,38,36,22,-,10,12,271,-,116,155
103學年,總計,1676,493,562,621,767,229,254,284,268,91,89,88,50,18,18,14,591,155,201,235
103學年,學術學程,994,493,241,260,513,229,133,151,199,91,56,52,33,18,7,8,249,155,45,49
103學年,專門學程,682,-,321,361,254,-,121,133,69,-,33,36,17,-,11,6,342,-,156,186
102學年,總計,1844,563,621,660,842,253,284,305,270,91,87,92,45,18,14,13,687,201,236,250
102學年,學術學程,1099,563,259,277,567,253,151,163,197,91,51,55,30,18,7,5,305,201,50,54
102學年,專門學程,745,-,362,383,275,-,133,142,73,-,36,37,15,-,7,8,382,-,186,196
101學年,總計,1963,615,660,688,913,287,309,317,260,83,88,89,44,14,13,17,746,231,250,265
101學年,學術學程,1162,615,276,271,623,287,167,169,184,83,51,50,25,14,5,6,330,231,53,46
101學年,專門學程,801,-,384,417,290,-,142,148,76,-,37,39,19,-,8,11,416,-,197,219
100學年,總計,2079,664,692,723,961,309,318,334,270,89,91,90,49,13,18,18,799,253,265,281
100學年,學術學程,1234,664,279,291,658,309,171,178,195,89,53,53,26,13,6,7,355,253,49,53
100學年,專門學程,845,-,413,432,303,-,147,156,75,-,38,37,23,-,12,11,444,-,216,228
99學年,總計,2195,682,719,794,997,316,332,349,208,69,70,69,115,36,37,42,875,261,280,334
99學年,學術學程,1279,682,294,303,676,316,180,180,149,69,39,41,78,36,21,21,376,261,54,61
99學年,專門學程,916,-,425,491,321,-,152,169,59,-,31,28,37,-,16,21,499,-,226,273
98學年,總計,2369,722,792,855,1028,332,349,347,208,69,69,70,120,37,42,41,1013,284,332,397
98學年,學術學程,1316,722,297,297,683,332,176,175,145,69,40,36,78,37,21,20,410,284,60,66
98學年,專門學程,1053,-,495,558,345,-,173,172,63,-,29,34,42,-,21,21,603,-,272,331
97學年,總計,2551,797,857,897,1041,349,347,345,210,69,71,70,124,42,41,41,1176,337,398,441
97學年,學術學程,1447,797,312,338,711,349,181,181,155,69,41,45,82,42,20,20,499,337,70,92
97學年,專門學程,1104,-,545,559,330,-,166,164,55,-,30,25,42,-,21,21,677,-,328,349
""
