學年別,三分類,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
105學年,總計,1309441,646866,662575,88425,21859,66566,7259,3754,3505,562,371,191,36257,9493,26764,978579,498342,480237,169538,93583,75955,28821,19464,9357
105學年,人文類,248859,84122,164737,11551,3305,8246,165,95,70,120,45,75,3493,928,2565,191989,65130,126859,35479,11684,23795,6062,2935,3127
105學年,社會類,507306,201189,306117,25227,6103,19124,3945,1466,2479,103,49,54,13846,3873,9973,400655,158773,241882,58232,27638,30594,5298,3287,2011
105學年,科技類,553276,361555,191721,51647,12451,39196,3149,2193,956,339,277,62,18918,4692,14226,385935,274439,111496,75827,54261,21566,17461,13242,4219
104學年,總計,1332445,660775,671670,89143,21760,67383,8323,4230,4093,357,272,85,36129,9501,26628,998732,510129,488603,170428,94884,75544,29333,19999,9334
104學年,人文類,251176,84034,167142,11975,3369,8606,206,115,91,54,24,30,3465,890,2575,193718,64844,128874,35732,11842,23890,6026,2950,3076
104學年,社會類,516695,204518,312177,25267,6068,19199,4734,1756,2978,38,18,20,13756,3942,9814,409656,161918,247738,58045,27601,30444,5199,3215,1984
104學年,科技類,564574,372223,192351,51901,12323,39578,3383,2359,1024,265,230,35,18908,4669,14239,395358,283367,111991,76651,55441,21210,18108,13834,4274
103學年,總計,1339849,666128,673721,89484,21456,68028,9786,4846,4940,416,308,108,36837,10047,26790,999809,511735,488074,172968,96694,76274,30549,21042,9507
103學年,人文類,250121,82972,167149,12105,3336,8769,266,162,104,28,14,14,3400,860,2540,191864,63484,128380,36505,12186,24319,5953,2930,3023
103學年,社會類,516207,202947,313260,24788,5873,18915,6351,2491,3860,61,31,30,14189,4228,9961,407189,159390,247799,58372,27710,30662,5257,3224,2033
103學年,科技類,573521,380209,193312,52591,12247,40344,3169,2193,976,327,263,64,19248,4959,14289,400756,288861,111895,78091,56798,21293,19339,14888,4451
102學年,總計,1345973,673876,672097,90398,21900,68498,11261,5528,5733,440,335,105,38583,10954,27629,996511,512871,483640,177305,100398,76907,31475,21890,9585
102學年,人文類,247722,81469,166253,12251,3203,9048,284,166,118,27,14,13,3542,881,2661,188582,61669,126913,37201,12672,24529,5835,2864,2971
102學年,社會類,512743,201609,311134,24527,5739,18788,7639,3091,4548,86,48,38,14797,4630,10167,401746,156887,244859,58781,28070,30711,5167,3144,2023
102學年,科技類,585508,390798,194710,53620,12958,40662,3338,2271,1067,327,273,54,20244,5443,14801,406183,294315,111868,81323,59656,21667,20473,15882,4591
101學年,總計,1355290,683446,671844,89060,21701,67359,12364,6088,6276,409,272,137,42179,12391,29788,995453,515852,479601,183094,104219,78875,32731,22923,9808
101學年,人文類,245146,79471,165675,11935,2930,9005,368,204,164,42,16,26,3959,916,3043,183949,59126,124823,39036,13388,25648,5857,2891,2966
101學年,社會類,508142,199679,308463,23020,5490,17530,7775,3004,4771,142,76,66,15602,4877,10725,397062,154593,242469,59370,28494,30876,5171,3145,2026
101學年,科技類,602002,404296,197706,54105,13281,40824,4221,2880,1341,225,180,45,22618,6598,16020,414442,302133,112309,84688,62337,22351,21703,16887,4816
100學年,總計,1352084,683367,668717,88070,21650,66420,13230,6377,6853,472,296,176,45575,14411,31164,986938,512749,474189,184113,104188,79925,33686,23696,9990
