學年別,縣市別,國小補校總計,國小補校國立,國小補校直轄市立,國小補校縣市立,國小補校私立,國中補校總計,國中補校國立,國中補校直轄市立,國中補校縣市立,國中補校私立
106學年,總計,225,-,152,73,-,180,-,115,62,3
106學年,新北市,48,-,48,-,-,30,-,30,-,-
106學年,臺北市,16,-,16,-,-,12,-,12,-,-
106學年,桃園市,19,-,19,-,-,17,-,16,-,1
106學年,臺中市,33,-,33,-,-,24,-,24,-,-
106學年,臺南市,21,-,21,-,-,10,-,9,-,1
106學年,高雄市,15,-,15,-,-,24,-,24,-,-
106學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
106學年,新竹縣,3,-,-,3,-,2,-,-,2,-
106學年,苗栗縣,9,-,-,9,-,1,-,-,1,-
106學年,彰化縣,8,-,-,8,-,9,-,-,9,-
106學年,南投縣,3,-,-,3,-,4,-,-,4,-
106學年,雲林縣,7,-,-,7,-,9,-,-,9,-
106學年,嘉義縣,4,-,-,4,-,4,-,-,4,-
106學年,屏東縣,12,-,-,12,-,13,-,-,13,-
106學年,臺東縣,2,-,-,2,-,2,-,-,2,-
106學年,花蓮縣,3,-,-,3,-,5,-,-,4,1
106學年,澎湖縣,1,-,-,1,-,1,-,-,1,-
106學年,基隆市,6,-,-,6,-,5,-,-,5,-
106學年,新竹市,4,-,-,4,-,1,-,-,1,-
106學年,嘉義市,1,-,-,1,-,3,-,-,3,-
106學年,金門縣,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-
105學年,總計,231,-,157,74,-,185,-,117,65,3
105學年,新北市,49,-,49,-,-,30,-,30,-,-
105學年,臺北市,16,-,16,-,-,12,-,12,-,-
105學年,桃園市,19,-,19,-,-,17,-,16,-,1
105學年,臺中市,33,-,33,-,-,24,-,24,-,-
105學年,臺南市,22,-,22,-,-,11,-,10,-,1
105學年,高雄市,18,-,18,-,-,25,-,25,-,-
105學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
105學年,新竹縣,3,-,-,3,-,2,-,-,2,-
105學年,苗栗縣,9,-,-,9,-,1,-,-,1,-
105學年,彰化縣,9,-,-,9,-,10,-,-,10,-
105學年,南投縣,3,-,-,3,-,4,-,-,4,-
105學年,雲林縣,8,-,-,8,-,9,-,-,9,-
105學年,嘉義縣,4,-,-,4,-,4,-,-,4,-
105學年,屏東縣,12,-,-,12,-,14,-,-,14,-
105學年,臺東縣,2,-,-,2,-,2,-,-,2,-
105學年,花蓮縣,3,-,-,3,-,5,-,-,4,1
105學年,澎湖縣,1,-,-,1,-,1,-,-,1,-
105學年,基隆市,6,-,-,6,-,6,-,-,6,-
105學年,新竹市,3,-,-,3,-,1,-,-,1,-
105學年,嘉義市,1,-,-,1,-,3,-,-,3,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-
104學年,總計,239,-,161,78,-,193,-,120,70,3
104學年,新北市,51,-,51,-,-,30,-,30,-,-
104學年,臺北市,16,-,16,-,-,12,-,12,-,-
104學年,桃園市,19,-,19,-,-,17,-,16,-,1
104學年,臺中市,31,-,31,-,-,24,-,24,-,-
104學年,臺南市,22,-,22,-,-,12,-,11,-,1
104學年,高雄市,22,-,22,-,-,27,-,27,-,-
104學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
