學年別,縣市別,總計,國立,直轄市立,縣市立,私立
102學年,總計,38,20,12,-,6
102學年,新北市,6,-,4,-,2
102學年,臺北市,5,-,4,-,1
102學年,臺中市,3,3,-,-,-
102學年,臺南市,3,3,-,-,-
102學年,高雄市,6,1,4,-,1
102學年,宜蘭縣,-,-,-,-,-
102學年,桃園縣,2,2,-,-,-
102學年,新竹縣,-,-,-,-,-
102學年,苗栗縣,-,-,-,-,-
102學年,彰化縣,3,3,-,-,-
102學年,南投縣,3,3,-,-,-
102學年,雲林縣,-,-,-,-,-
102學年,嘉義縣,2,1,-,-,1
102學年,屏東縣,2,1,-,-,1
102學年,臺東縣,1,1,-,-,-
102學年,花蓮縣,-,-,-,-,-
102學年,澎湖縣,-,-,-,-,-
102學年,基隆市,1,1,-,-,-
102學年,新竹市,-,-,-,-,-
102學年,嘉義市,1,1,-,-,-
102學年,金門縣,-,-,-,-,-
102學年,連江縣,-,-,-,-,-
101學年,總計,39,22,8,-,9
101學年,新北市,6,3,1,-,2
101學年,臺北市,5,-,3,-,2
101學年,臺中市,3,3,-,-,-
101學年,臺南市,3,3,-,-,-
101學年,高雄市,6,1,4,-,1
101學年,宜蘭縣,-,-,-,-,-
101學年,桃園縣,1,1,-,-,-
101學年,新竹縣,-,-,-,-,-
101學年,苗栗縣,-,-,-,-,-
101學年,彰化縣,3,3,-,-,-
101學年,南投縣,3,3,-,-,-
101學年,雲林縣,-,-,-,-,-
101學年,嘉義縣,3,1,-,-,2
101學年,屏東縣,2,1,-,-,1
101學年,臺東縣,1,1,-,-,-
101學年,花蓮縣,-,-,-,-,-
101學年,澎湖縣,-,-,-,-,-
101學年,基隆市,2,1,-,-,1
101學年,新竹市,-,-,-,-,-
101學年,嘉義市,1,1,-,-,-
101學年,金門縣,-,-,-,-,-
101學年,連江縣,-,-,-,-,-
100學年,總計,37,21,8,-,8
100學年,新北市,6,3,1,-,2
100學年,臺北市,5,-,3,-,2
100學年,臺中市,2,2,-,-,-
100學年,臺南市,3,3,-,-,-
100學年,高雄市,6,1,4,-,1
100學年,宜蘭縣,-,-,-,-,-
100學年,桃園縣,1,1,-,-,-
100學年,新竹縣,-,-,-,-,-
100學年,苗栗縣,-,-,-,-,-
100學年,彰化縣,3,3,-,-,-
100學年,南投縣,3,3,-,-,-
100學年,雲林縣,-,-,-,-,-
100學年,嘉義縣,2,1,-,-,1
100學年,屏東縣,2,1,-,-,1
100學年,臺東縣,1,1,-,-,-
100學年,花蓮縣,-,-,-,-,-
100學年,澎湖縣,-,-,-,-,-
100學年,基隆市,2,1,-,-,1
100學年,新竹市,-,-,-,-,-
100學年,嘉義市,1,1,-,-,-
100學年,金門縣,-,-,-,-,-
100學年,連江縣,-,-,-,-,-
99學年,總計,35,21,7,1,6
99學年,臺北市,5,-,3,-,2
99學年,高雄市,4,-,4,-,-
99學年,臺北縣,6,3,-,1,2
99學年,宜蘭縣,-,-,-,-,-
99學年,桃園縣,1,1,-,-,-
99學年,新竹縣,-,-,-,-,-
99學年,苗栗縣,-,-,-,-,-
99學年,臺中縣,1,1,-,-,-
99學年,彰化縣,3,3,-,-,-
99學年,南投縣,3,3,-,-,-
99學年,雲林縣,-,-,-,-,-
99學年,嘉義縣,1,1,-,-,-
99學年,臺南縣,2,2,-,-,-
99學年,高雄縣,2,1,-,-,1
99學年,屏東縣,1,1,-,-,-
99學年,臺東縣,1,1,-,-,-
99學年,花蓮縣,-,-,-,-,-
99學年,澎湖縣,-,-,-,-,-
99學年,基隆市,2,1,-,-,1
99學年,新竹市,-,-,-,-,-
99學年,臺中市,1,1,-,-,-
99學年,嘉義市,1,1,-,-,-
99學年,臺南市,1,1,-,-,-
99學年,金門縣,-,-,-,-,-
99學年,連江縣,-,-,-,-,-
98學年,總計,34,20,7,-,7
98學年,臺北市,5,-,3,-,2
