學年別,班級數組別,總計,國立,直轄市立,縣市立,私立
106學年,總計,2630,9,1215,1371,35
106學年,6 班以下,1041,-,294,745,2
106學年,7 至 12 班,403,1,155,240,7
106學年,13 至 18 班,291,-,142,141,8
106學年,19 至 24 班,186,1,111,67,7
106學年,25 至 30 班,171,3,115,51,2
106學年,31 至 36 班,140,2,89,44,5
106學年,37 至 42 班,87,2,61,21,3
106學年,43 至 48 班,79,-,58,20,1
106學年,49 至 54 班,67,-,49,18,-
106學年,55 至 60 班,55,-,42,13,-
106學年,61 班以上,110,-,99,11,-
105學年,總計,2630,9,1214,1372,35
105學年,6 班以下,1014,-,284,727,3
105學年,7 至 12 班,417,1,158,250,8
105學年,13 至 18 班,287,-,142,138,7
105學年,19 至 24 班,193,1,113,73,6
105學年,25 至 30 班,175,3,113,57,2
105學年,31 至 36 班,138,2,92,38,6
105學年,37 至 42 班,88,2,62,22,2
105學年,43 至 48 班,75,-,52,22,1
105學年,49 至 54 班,65,-,48,17,-
105學年,55 至 60 班,65,-,48,17,-
105學年,61 班以上,113,-,102,11,-
104學年,總計,2633,9,1213,1377,34
104學年,6 班以下,984,-,274,707,3
104學年,7 至 12 班,423,1,164,251,7
104學年,13 至 18 班,283,-,131,146,6
104學年,19 至 24 班,200,1,114,78,7
104學年,25 至 30 班,181,3,114,62,2
104學年,31 至 36 班,137,2,88,41,6
104學年,37 至 42 班,97,2,72,21,2
104學年,43 至 48 班,72,-,47,24,1
104學年,49 至 54 班,70,-,52,18,-
104學年,55 至 60 班,63,-,47,16,-
104學年,61 班以上,123,-,110,13,-
103學年,總計,2644,9,1027,1571,37
103學年,6 班以下,957,-,229,723,5
103學年,7 至 12 班,431,1,130,293,7
103學年,13 至 18 班,285,-,116,163,6
103學年,19 至 24 班,209,1,102,98,8
103學年,25 至 30 班,182,3,101,76,2
103學年,31 至 36 班,145,2,68,68,7
103學年,37 至 42 班,94,2,54,37,1
103學年,43 至 48 班,71,-,44,26,1
103學年,49 至 54 班,68,-,36,32,-
103學年,55 至 60 班,66,-,40,26,-
103學年,61 班以上,136,-,107,29,-
102學年,總計,2650,9,1026,1578,37
102學年,6 班以下,935,-,215,715,5
102學年,7 至 12 班,443,1,137,299,6
102學年,13 至 18 班,287,-,112,167,8
102學年,19 至 24 班,209,1,97,103,8
102學年,25 至 30 班,167,3,96,67,1
102學年,31 至 36 班,163,2,81,73,7
102學年,37 至 42 班,95,2,50,42,1
102學年,43 至 48 班,78,-,50,27,1
102學年,49 至 54 班,66,-,38,28,-
102學年,55 至 60 班,67,-,38,29,-
102學年,61 班以上,140,-,112,28,-
101學年,總計,2657,9,1026,1586,36
101學年,6 班以下,926,-,214,706,6
101學年,7 至 12 班,439,1,129,304,5
101學年,13 至 18 班,267,-,99,162,6
101學年,19 至 24 班,205,1,94,102,8
101學年,25 至 30 班,181,3,98,78,2
101學年,31 至 36 班,161,2,89,63,7
101學年,37 至 42 班,101,2,48,50,1
101學年,43 至 48 班,86,-,54,31,1
101學年,49 至 54 班,70,-,43,27,-
101學年,55 至 60 班,56,-,28,28,-
101學年,61 班以上,165,-,130,35,-
100學年,總計,2659,9,1025,1589,36
100學年,6 班以下,912,-,209,699,4
100學年,7 至 12 班,430,1,122,302,5
100學年,13 至 18 班,275,-,97,170,8
100學年,19 至 24 班,197,1,93,96,7
100學年,25 至 30 班,187,3,97,83,4
100學年,31 至 36 班,163,2,88,67,6
100學年,37 至 42 班,110,2,57,50,1
100學年,43 至 48 班,83,-,45,37,1
100學年,49 至 54 班,63,-,43,20,-
100學年,55 至 60 班,56,-,34,22,-
100學年,61 班以上,183,-,140,43,-
99學年,總計,2661,9,229,2384,39
99學年,6 班以下,909,-,9,894,6
99學年,7 至 12 班,427,1,12,411,3
99學年,13 至 18 班,274,-,18,246,10
99學年,19 至 24 班,195,1,31,157,6
99學年,25 至 30 班,179,3,28,142,6
99學年,31 至 36 班,158,2,31,119,6
99學年,37 至 42 班,121,2,19,99,1
99學年,43 至 48 班,89,-,18,70,1
99學年,49 至 54 班,62,-,14,48,-
99學年,55 至 60 班,63,-,8,55,-
99學年,61 班以上,184,-,41,143,-
98學年,總計,2658,9,229,2383,37
98學年,6 班以下,893,-,9,880,4
98學年,7 至 12 班,441,1,13,424,3
98學年,13 至 18 班,260,-,16,234,10
98學年,19 至 24 班,196,1,26,162,7
98學年,25 至 30 班,173,2,26,140,5
98學年,31 至 36 班,158,3,33,116,6
98學年,37 至 42 班,122,2,21,97,2
98學年,43 至 48 班,100,-,18,82,-
98學年,49 至 54 班,59,-,15,44,-
98學年,55 至 60 班,61,-,7,54,-
98學年,61 班以上,195,-,45,150,-
97學年,總計,2654,9,229,2379,37
97學年,6 班以下,880,-,10,867,3
97學年,7 至 12 班,425,1,10,409,5
97學年,13 至 18 班,265,-,15,242,8
97學年,19 至 24 班,208,1,26,172,9
97學年,25 至 30 班,164,3,25,130,6
97學年,31 至 36 班,157,2,31,120,4
97學年,37 至 42 班,116,2,22,90,2
97學年,43 至 48 班,112,-,20,92,-
97學年,49 至 54 班,64,-,16,48,-
97學年,55 至 60 班,59,-,7,52,-
97學年,61 班以上,204,-,47,157,-
""
