學年別,縣市別,總計,國立,直轄市立,私立
106學年,總計,5,-,-,5
106學年,新北市,1,-,-,1
106學年,臺北市,2,-,-,2
106學年,桃園市,-,-,-,-
106學年,臺中市,-,-,-,-
106學年,臺南市,-,-,-,-
106學年,高雄市,1,-,-,1
106學年,宜蘭縣,-,-,-,-
106學年,新竹縣,-,-,-,-
106學年,苗栗縣,-,-,-,-
106學年,彰化縣,-,-,-,-
106學年,南投縣,1,-,-,1
106學年,雲林縣,-,-,-,-
106學年,嘉義縣,-,-,-,-
106學年,屏東縣,-,-,-,-
106學年,臺東縣,-,-,-,-
106學年,花蓮縣,-,-,-,-
106學年,澎湖縣,-,-,-,-
106學年,基隆市,-,-,-,-
106學年,新竹市,-,-,-,-
106學年,嘉義市,-,-,-,-
106學年,金門縣,-,-,-,-
106學年,連江縣,-,-,-,-
105學年,總計,5,-,-,5
105學年,新北市,1,-,-,1
105學年,臺北市,2,-,-,2
105學年,桃園市,-,-,-,-
105學年,臺中市,-,-,-,-
105學年,臺南市,-,-,-,-
105學年,高雄市,1,-,-,1
105學年,宜蘭縣,-,-,-,-
105學年,新竹縣,-,-,-,-
105學年,苗栗縣,-,-,-,-
105學年,彰化縣,-,-,-,-
105學年,南投縣,1,-,-,1
105學年,雲林縣,-,-,-,-
105學年,嘉義縣,-,-,-,-
105學年,屏東縣,-,-,-,-
105學年,臺東縣,-,-,-,-
105學年,花蓮縣,-,-,-,-
105學年,澎湖縣,-,-,-,-
105學年,基隆市,-,-,-,-
105學年,新竹市,-,-,-,-
105學年,嘉義市,-,-,-,-
105學年,金門縣,-,-,-,-
105學年,連江縣,-,-,-,-
104學年,總計,3,-,-,3
104學年,新北市,1,-,-,1
104學年,臺北市,1,-,-,1
104學年,桃園市,-,-,-,-
104學年,臺中市,-,-,-,-
104學年,臺南市,-,-,-,-
104學年,高雄市,1,-,-,1
104學年,宜蘭縣,-,-,-,-
104學年,新竹縣,-,-,-,-
104學年,苗栗縣,-,-,-,-
104學年,彰化縣,-,-,-,-
