學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,普通科計,普通科國立,普通科直轄市立,普通科縣市立,普通科私立,專業群(職業)科計,專業群(職業)科國立,專業群(職業)科直轄市立,專業群(職業)科縣市立,專業群(職業)科私立
106學年,總計,195,65,31,4,95,25,4,11,3,7,175,63,20,1,91
106學年,新北市,26,-,15,-,11,9,-,9,-,-,17,-,6,-,11
106學年,臺北市,16,-,3,-,13,2,-,-,-,2,15,-,3,-,12
106學年,桃園市,17,5,-,-,12,1,-,-,-,1,17,5,-,-,12
106學年,臺中市,20,1,8,-,11,2,-,1,-,1,19,1,7,-,11
106學年,臺南市,19,10,-,-,9,2,1,-,-,1,17,9,-,-,8
106學年,高雄市,17,2,5,-,10,1,-,1,-,-,16,2,4,-,10
106學年,宜蘭縣,6,5,-,1,-,-,-,-,-,-,6,5,-,1,-
106學年,新竹縣,5,1,-,-,4,1,1,-,-,-,5,1,-,-,4
106學年,苗栗縣,6,2,-,-,4,-,-,-,-,-,6,2,-,-,4
106學年,彰化縣,15,11,-,2,2,2,-,-,2,-,13,11,-,-,2
106學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
106學年,雲林縣,5,2,-,-,3,-,-,-,-,-,5,2,-,-,3
106學年,嘉義縣,4,1,-,-,3,1,-,-,-,1,3,1,-,-,2
106學年,屏東縣,6,3,-,-,3,-,-,-,-,-,6,3,-,-,3
106學年,臺東縣,2,2,-,-,-,-,-,-,-,-,2,2,-,-,-
106學年,花蓮縣,6,4,-,-,2,1,-,-,-,1,5,4,-,-,1
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
106學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
106學年,嘉義市,6,4,-,-,2,1,1,-,-,-,5,3,-,-,2
106學年,金門縣,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,204,74,26,5,99,26,4,11,4,7,183,72,15,1,95
105學年,新北市,27,-,15,-,12,9,-,9,-,-,18,-,6,-,12
105學年,臺北市,20,-,5,-,15,2,-,-,-,2,19,-,5,-,14
105學年,桃園市,17,5,-,-,12,1,-,-,-,1,17,5,-,-,12
105學年,臺中市,21,9,1,-,11,2,-,1,-,1,20,9,-,-,11
105學年,臺南市,19,10,-,-,9,2,1,-,-,1,17,9,-,-,8
105學年,高雄市,18,2,5,-,11,1,-,1,-,-,17,2,4,-,11
